VIN,Trip,Make,Model,Version,Grade,Engine_Temperature,Battery_Voltage,Engine_Vibration,Mileage,Oil_Temperature,Coolant_Temperature,Engine_Load,RPM,Throttle_Position,Intake_Air_Temperature,Exhaust_Gas_Temperature,Fuel_Pressure
VIN00001,0,Hyundai,Elantra,2.0L,Limited,106.7,13.03,4.4,19.54,81.5,110.0,27.5,5275,93.4,59.2,140.9,46.0
VIN00001,1,Hyundai,Elantra,2.0L,Limited,103.5,13.08,3.5000000000000004,19.41,91.1,111.1,28.6,4531,95.4,62.0,168.4,52.5
VIN00001,2,Hyundai,Elantra,2.0L,Limited,121.5,12.41,3.49,20.779999999999998,82.7,112.9,31.2,6769,98.80000000000001,66.2,224.7,46.4
VIN00001,3,Hyundai,Elantra,2.0L,Limited,113.10000000000001,13.149999999999999,4.5,21.369999999999997,84.4,112.6,41.1,4653,85.4,63.800000000000004,222.4,49.9
VIN00001,4,Hyundai,Elantra,2.0L,Limited,119.4,13.67,4.45,19.619999999999997,81.5,112.9,16.9,6526,90.10000000000001,61.1,43.400000000000006,44.8
VIN00001,5,Hyundai,Elantra,2.0L,Limited,95.2,12.99,4.19,21.31,89.9,114.4,17.9,2181,86.5,66.0,203.0,48.8
VIN00001,6,Hyundai,Elantra,2.0L,Limited,114.2,13.26,4.3100000000000005,18.43,77.4,108.6,18.5,827,98.10000000000001,51.900000000000006,62.60000000000001,53.4
VIN00001,7,Hyundai,Elantra,2.0L,Limited,121.0,12.799999999999999,5.34,17.96,76.7,105.7,37.0,3181,106.60000000000001,59.900000000000006,233.7,48.6
VIN00001,8,Hyundai,Elantra,2.0L,Limited,120.9,13.29,3.6800000000000006,19.08,73.2,117.5,15.2,1162,103.60000000000001,68.5,205.3,45.1
VIN00001,9,Hyundai,Elantra,2.0L,Limited,112.3,12.28,4.53,18.15,74.2,110.1,18.3,3014,88.10000000000001,65.7,225.8,51.9
VIN00001,10,Hyundai,Elantra,2.0L,Limited,115.7,13.42,5.32,18.72,75.0,112.1,14.1,2047,97.5,59.400000000000006,177.7,52.3
VIN00002,0,Mercedes,C200,1.5L Turbo,AMG Line,101.5,13.31,1.43,12.33,75.2,84.3,57.6,829,27.1,27.8,535.8,59.5
VIN00002,1,Mercedes,C200,1.5L Turbo,AMG Line,104.4,13.74,1.52,13.69,85.2,78.8,45.2,2651,15.000000000000002,31.2,562.6999999999999,54.6
VIN00002,2,Mercedes,C200,1.5L Turbo,AMG Line,88.9,13.68,1.45,13.28,82.0,84.5,65.9,6732,25.5,29.1,516.1999999999999,67.1
VIN00002,3,Mercedes,C200,1.5L Turbo,AMG Line,108.2,12.600000000000001,0.71,11.66,65.5,90.7,59.4,4710,19.1,32.9,497.9,66.6
VIN00002,4,Mercedes,C200,1.5L Turbo,AMG Line,115.2,13.5,0.6499999999999999,13.44,67.10000000000001,91.6,67.9,2872,25.0,22.4,469.4,67.1
VIN00002,5,Mercedes,C200,1.5L Turbo,AMG Line,100.0,13.96,1.19,11.57,72.3,79.39999999999999,60.4,4502,30.0,24.3,448.29999999999995,62.2
VIN00002,6,Mercedes,C200,1.5L Turbo,AMG Line,106.1,12.85,0.6,10.75,74.5,81.39999999999999,52.300000000000004,4533,21.8,29.2,561.5,53.1
VIN00002,7,Mercedes,C200,1.5L Turbo,AMG Line,111.7,12.85,2.28,12.290000000000001,77.10000000000001,88.6,53.1,5763,33.9,24.900000000000002,629.5999999999999,55.9
VIN00002,8,Mercedes,C200,1.5L Turbo,AMG Line,112.7,14.100000000000001,1.91,13.27,77.10000000000001,83.0,56.5,4070,21.1,28.6,542.0999999999999,65.4
VIN00002,9,Mercedes,C200,1.5L Turbo,AMG Line,90.6,13.32,2.3,10.76,73.2,93.8,44.3,2333,19.0,34.0,559.8,65.1
VIN00002,10,Mercedes,C200,1.5L Turbo,AMG Line,108.2,12.620000000000001,1.89,12.68,80.7,87.6,65.7,5497,36.0,28.900000000000002,540.5999999999999,65.5
VIN00003,0,Mercedes,C200,1.5L Turbo,AMG Line,85.8,14.25,0.52,11.68,77.4,101.2,62.7,4073,88.2,26.5,382.0,79.0
VIN00003,1,Mercedes,C200,1.5L Turbo,AMG Line,96.3,13.78,1.38,12.83,71.4,94.0,49.6,5780,93.10000000000001,26.8,407.0,74.6
VIN00003,2,Mercedes,C200,1.5L Turbo,AMG Line,94.1,13.66,1.32,12.86,85.2,109.9,58.1,2951,85.10000000000001,16.8,403.8,84.2
VIN00003,3,Mercedes,C200,1.5L Turbo,AMG Line,77.3,14.93,0.9299999999999999,13.54,69.60000000000001,95.0,49.300000000000004,885,87.4,20.3,410.2,87.1
VIN00003,4,Mercedes,C200,1.5L Turbo,AMG Line,86.39999999999999,14.48,0.5900000000000001,11.99,72.4,93.0,72.60000000000001,2918,85.3,18.6,285.7,86.9
VIN00003,5,Mercedes,C200,1.5L Turbo,AMG Line,90.89999999999999,15.0,0.97,10.9,77.80000000000001,110.0,69.60000000000001,4460,97.2,18.4,477.4,83.1
VIN00003,6,Mercedes,C200,1.5L Turbo,AMG Line,99.5,14.59,0.36,10.24,74.80000000000001,94.7,59.6,2252,100.60000000000001,36.5,304.2,82.8
VIN00003,7,Mercedes,C200,1.5L Turbo,AMG Line,75.8,14.56,-0.42999999999999994,12.469999999999999,68.7,92.0,49.5,5179,83.3,31.4,421.8,72.8
VIN00003,8,Mercedes,C200,1.5L Turbo,AMG Line,95.6,13.54,0.68,12.42,74.9,103.4,55.900000000000006,5778,88.5,21.9,480.1,72.2
VIN00003,9,Mercedes,C200,1.5L Turbo,AMG Line,98.1,14.51,0.89,13.33,75.0,103.2,72.5,2045,84.3,25.9,328.7,84.5
VIN00003,10,Mercedes,C200,1.5L Turbo,AMG Line,96.39999999999999,14.98,0.10000000000000003,9.75,74.30000000000001,96.7,54.900000000000006,5108,101.2,36.2,411.8,81.2
VIN00004,0,Hyundai,Elantra,2.0L,Limited,82.6,14.49,0.99,18.35,80.9,85.1,28.2,2619,16.8,12.0,229.4,85.9
VIN00004,1,Hyundai,Elantra,2.0L,Limited,76.69999999999999,14.09,1.24,17.12,88.9,79.6,32.6,6354,2.6000000000000014,18.2,237.8,83.0
VIN00004,2,Hyundai,Elantra,2.0L,Limited,87.6,14.88,1.46,20.12,84.10000000000001,77.39999999999999,31.5,3569,21.8,6.0,200.8,80.2
VIN00004,3,Hyundai,Elantra,2.0L,Limited,87.39999999999999,15.01,1.67,17.44,73.80000000000001,93.89999999999999,23.7,1901,21.9,9.7,175.4,88.10000000000001
VIN00004,4,Hyundai,Elantra,2.0L,Limited,85.69999999999999,14.85,1.12,20.16,87.80000000000001,85.3,20.0,2072,4.600000000000001,10.7,167.5,93.0
